capacity_output [kW],power_input [kW],condenser_water_temperature [DEG C],condenser_water_flow_rate [percent],evaporator_water_return_temperature [DEG C],evaporator_water_supply_temperature [DEG C],evaporator_water_flow_rate [percent]
9.84,5.676895491,20.55,1.006860345,13.3789621,8.110595155,0.871554277
9.84,5.689384498,20.84489796,1.054839727,14.35400598,8.683751982,1.04082627
9.84,5.701589334,21.13979592,0.972843552,14.04192732,8.850769757,0.965822582
9.84,5.713519111,21.43469388,1.028363565,13.51114073,8.372002274,0.935507097
9.84,5.725182938,21.72959184,0.935715514,13.4554765,8.912921702,0.986423326
9.84,5.736589927,22.0244898,0.946299592,12.89385553,8.07195847,1.060496413
9.84,5.747749189,22.31938776,1.034275224,13.47860494,8.215047865,0.954864751
9.84,5.758669833,22.61428571,1.003713881,14.96241253,7.945564313,0.970397015
9.84,5.76936097,22.90918367,0.967341725,12.7346105,8.207208162,0.896955276
9.84,5.779831711,23.20408163,1.066367841,15.77735352,8.54925074,0.999269821
9.84,5.790091167,23.49897959,0.976509939,14.26085781,8.585334705,0.960036149
9.84,5.800148448,23.79387755,1.02824945,13.3691538,8.826151149,0.976739598
9.84,5.810012665,24.08877551,0.95741914,12.53447246,8.467944514,0.956273214
9.84,5.819692928,24.38367347,0.98598991,13.52233949,8.128484182,0.973340795
9.84,5.829198349,24.67857143,0.898920581,13.23404389,7.879920519,0.982169494
9.84,5.838538037,24.97346939,1.026143454,13.26588252,8.121894272,0.917487419
9.84,5.847721103,25.26836735,1.05937162,13.44050154,8.374256143,0.963743101
9.84,5.856756658,25.56326531,0.957994595,12.07972523,8.061256808,0.890204414
9.84,5.865653813,25.85816327,0.988073538,14.68433267,8.306753431,0.966994364
9.84,5.874421678,26.15306122,0.951623393,13.31519419,8.351715707,0.948110314
9.84,5.883069363,26.44795918,0.893995156,14.28453533,8.21425721,0.849681947
9.84,5.89160598,26.74285714,1.062751598,14.00961646,8.074973991,0.981159192
9.84,5.900040639,27.0377551,0.97075439,15.15425003,8.396299761,0.897928048
9.84,5.90838245,27.33265306,1.023659765,14.93985196,8.409647258,0.951188191
9.84,5.916640525,27.62755102,0.988062616,14.49975297,8.460268472,0.981460354
9.84,5.924823973,27.92244898,0.936424436,11.5640524,8.008459131,1.127320419
9.84,5.932941905,28.21734694,1.014916389,14.06641883,8.245277665,1.044080083
9.84,5.941003433,28.5122449,0.972007419,14.01196349,8.412488707,0.893120624
9.84,5.949017666,28.80714286,0.99550004,13.19310648,8.589992221,0.98083946
9.84,5.956993716,29.10204082,1.024664303,12.23362653,8.283954724,1.020707797
9.84,5.964940692,29.39693878,0.983884802,13.95408889,8.350962133,0.97800775
9.84,5.972867706,29.69183673,0.996655037,14.93374533,8.366482645,0.956023896
9.84,5.980783868,29.98673469,0.975638524,13.65524718,8.566381535,0.957426748
9.84,5.988698288,30.28163265,0.956724428,14.35920715,8.188299249,0.957548525
9.84,5.996620078,30.57653061,1.008226254,14.17148138,8.611224672,0.948848848
9.84,6.004558348,30.87142857,0.95897555,14.63178848,8.875688035,0.980715618
9.84,6.012522208,31.16632653,0.891968724,12.40677469,8.25427026,0.934508331
9.84,6.02052077,31.46122449,1.01387447,13.69364073,8.445960869,0.981961903
9.84,6.028563143,31.75612245,0.994666251,14.74537704,8.286196803,1.06769723
9.84,6.036658438,32.05102041,0.938515474,14.75735341,8.190848321,1.007606794
9.84,6.044815767,32.34591837,0.999722257,15.06670894,8.217283209,0.924262743
9.84,6.053044239,32.64081633,0.941554253,14.27746478,8.479150146,1.024728953
9.84,6.061352965,32.93571429,0.992429762,14.90281395,8.321583638,0.970097152
9.84,6.069751056,33.23061224,1.041234549,15.17074721,9.08562966,0.907646834
9.84,6.078247622,33.5255102,0.873937739,14.89636799,8.015260421,0.970580698
